Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-15,100,100,0,1.544017
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-16,100,67,33,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-17,100,57,43,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-18,100,60,40,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-19,100,59,41,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-20,100,61,39,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-21,100,95,5,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-22,100,93,7,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-23,100,82,18,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-24,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-25,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-26,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-31,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-36,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-41,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-46,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-51,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-56,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-61,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-66,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-66,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-67,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-68,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-69,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-70,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-71,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-72,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-73,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-74,100,100,0,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-75,100,99,1,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-76,100,99,1,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-77,100,95,5,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-78,100,65,35,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-79,100,20,80,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-80,100,1,99,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-81,100,0,100,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-82,100,0,100,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-83,100,0,100,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-84,100,0,100,
802.11 A/G OFDM,2432000000,20000000,54Mbps,OFDM,634,-85,100,0,100,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-15,100,64,36,1.532367
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-16,100,55,45,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-17,100,65,35,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-18,100,63,37,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-19,100,66,34,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-20,100,63,37,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-21,100,91,9,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-22,100,83,17,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-23,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-24,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-25,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-26,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-31,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-36,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-41,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-46,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-51,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-56,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-61,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-63,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-64,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-65,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-66,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-67,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-68,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-69,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-70,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-71,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-72,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-73,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-74,100,100,0,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-75,100,89,11,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-76,100,62,38,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-77,100,13,87,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-78,100,0,100,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-79,100,0,100,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-80,100,0,100,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-81,100,0,100,
802.11 N MIMOOFDM,2412000000,20000000,MCS7,Mixed Format,734,-82,100,0,100,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-15,100,92,8,1.530533
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-16,100,98,2,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-17,100,91,9,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-18,100,91,9,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-19,100,92,8,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-20,100,85,15,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-21,100,92,8,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-22,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-23,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-24,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-25,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-26,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-31,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-36,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-41,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-46,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-51,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-56,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-61,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-63,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-64,100,90,10,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-65,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-66,100,100,0,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-67,100,89,11,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-68,100,90,10,
802.11 N MIMOOFDM,2437000000,20000000,MCS7,Mixed Format,734,-69,100,100,0,
